Console,Game,Collection,Genre,,Time,Score,Video,Speedrun,,,,Active,Done,
C64,Number Nabber Shape Grabber,,Puzzle,,0:21:30,3,https://youtu.be/9tUG0zYJ63o,,,,,x,x,
C64,Operation Wolf,,Shooter,,,,,,,,,x,,
C64,Out Run,,Racing,,,,,,,,,x,,
C64,Pinball Spectacular,,Pinball,,0:30:00,5,https://youtu.be/YRS--iz163U,,,,,x,x,
C64,Predator,,Action,,,,,,,,,x,,
C64,R-Type,,Shmup,,,,,,,,,x,,
C64,Real Ghostbusters,,Shooter,,,,,,,,,x,,
C64,Rolling Thunder,,Platformer,,,,,,,,,x,,
C64,Rygar,,Beat 'm Up,,,,,,,,,x,,
C64,Speed/Bingo Math,,Puzzle,,,,,,,,,x,,
C64,Stunt Bike Simulator,,Minigames,,,,,,,,,x,,
C64,The Last Ninja,,Action,,4:51:27,8,https://youtu.be/65eh4Fkr23U,,,,,x,x,
C64,Tom & Jerry,,Platformer,,,,,,,,,x,,
C64,Toobin',,Arcade,,1:46:20,4,https://youtu.be/fj-S2ubigU0,,,,,x,x,
C64,Zzzz,,Adventure,,,,,,,,,x,,
CDi,Alice In Wonderland,,Adventure,,,,,,,,,x,,
CDi,Battleship,,Boardgames,,,,,,,,,x,,
CDi,Christmas Crisis,,Platformer,,2:25:24,7,https://youtu.be/k_O6EgJVH0g,,,,,x,x,
CDi,Connect Four,,Boardgames,,0:10:29,5,https://youtu.be/IQF6MajTkH8,,,,,x,x,
CDi,Creature Shock,,Adventure/Shooter,,,,,,,,,x,,
CDi,Dragon's Lair,,Interactive Video,,Game doesn't work fully,,,,,,,,,
CDi,Dragon's Lair II,,Interactive Video,,,,,,,,,x,,
CDi,Family Games I,,Misc.,,,,,,,,,x,,
CDi,Hotel Mario,,Platformer,,,,,,,,,x,,
CDi,International Tennis Open,,Sports,,,,,,,,,x,,
CDi,Kether,,Adventure/Shooter,,,,,,,,,x,,
CDi,Lemmings,,Puzzle,,36:15:08,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBC0_upnLmiwfhasBWWH6slh,,,,,x,x,
CDi,Link: The Faces of Evil,,Adventure/Platformer,,4:50:23,6,https://youtu.be/vLldYa6ctxM,,,,,x,x,
CDi,Litil Devil,,Adventure,,,,,,,,,x,,
CDi,Lost Eden,,Adventure,,,,,,,,,x,,
CDi,Mega Maze,,Puzzle,,,,,,,,,x,,
CDi,Mystic Midway Phantom Express,,Shmup,,,,,,,,,x,,
CDi,Namco Arcade Classics,,Arcade,,,,,,,,,x,,
CDi,Pac-Panic,,Puzzle,,,,,,,,,x,,
CDi,Pinball,,Pinball,,,,,,,,,x,,
CDi,Scotland Yard,,Boardgames,,1:30:10,7,https://youtu.be/AwaLIU3XM8Q,,,,,x,x,
CDi,Striker Pro,,Sports,,,,,,,,,x,,
CDi,Tetris,,Puzzle,,,,,,,,,x,,
CDi,The 7th Guest,,Adventure,,,,,,,,,x,,
CDi,The Palm Springs Open,,Sports,,,,,,,,,x,,
CDi,Video Speedway,,Racing,,,,,,,,,x,,
CDi,Voyeur,,Adventure,,,,,,,,,x,,
DreamCast,Bust-A-Move 4,,Arcade,,,,,,,,,x,,
DreamCast,ChuChu Rocket,,Arcade,,8:20:22,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDrwipqj1MguVKKkwoHRFt6,,,,,x,x,
DreamCast,Dragons Blood,,Action/Adventure,,,,,,,,,x,,
DreamCast,ECCO The Dolphin: Defender of the Future,,Adventure,,,,,,,,,x,,
DreamCast,Gauntlet Legends,,Beat 'm Up,,,,,,,,,x,,
DreamCast,Hydro Thunder,,Racing,,,,,,,,,x,,
DreamCast,Kao The Kangaroo,,Platformer,,,,,,,,,x,,
DreamCast,Legacy of Kain: Soul Reaver,,Action/Adventure,,14:54:40,6,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDsw6nBqaimrZEhW-ee-Ib-,,,,,x,x,
DreamCast,Marvel Vs. Capcom 2,,Fighting,,1:01:00,7,https://youtu.be/OoWlVh8curo,,,,,x,x,
DreamCast,MSR: Metropolis Street Racer,,Racing,,,,,,,,,x,,
DreamCast,Planet Ring,,Misc.,,,,,,,,,x,,
DreamCast,Power Stone,,Fighting,,,,,,,,,x,,
DreamCast,Psychic Force 2012,,Fighting,,,,,,,,,x,,
DreamCast,Quake III Arena,,FPS,,,,,,,,,x,,
DreamCast,Ready 2 Rumble Boxing,,Sports,,,,,,,,,x,,
DreamCast,Sega GT,,Racing,,,,,,,,,x,,
DreamCast,Sega Rally 2 Championship,,Racing,,11:16:01,8,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDBOY_h4gbQxU27p20adLJD,,,,,x,x,
DreamCast,SoulCalibur,,Fighting,,,,,,,,,x,,
DreamCast,Tomb Raider: The Last Revelation,,Action/Adventure,,,,,,,,,x,,
DreamCast,Toy Racer,,Racing,,,,,,,,,x,,
DreamCast,Vanishing Point,,Racing,,,,,,,,,x,,
DreamCast,Virtua Fighter 3tb,,Fighting,,,,,,,,,x,,
DreamCast,Virtua Tennis,,Sports,,,,,,,,,x,,
DreamCast,Who wants to be a Millionaire,,Quiz,,,,,,,,,x,,
DSi Ware,Dark Void Zero,,Platformer,,,,,,,,,x,,
DSi Ware,The Legend of Zelda: Four Swords Anniversary Edition,,Puzzle/Adventure,,,,,,,,,x,,
G&W,Donkey Kong II,,Arcade,,,,,,,,,x,,
G&W,Fire,,Arcade,,,,,,,,,x,,
G&W,Mario Bros.,,Arcade,,,,,,,,,x,,
G&W,Mario's Cement Factory,,Arcade,,,,,,,,,x,,
G&W,Mickey & Donald,,Arcade,,,,,,,,,x,,
G&W,Rain Shower,,Arcade,,,,,,,,,x,,
G&W,Super Mario Bros.,,Arcade,,,,,,,,,x,,
GB,3 Choume no Tama: Tama and Friends - 3 Choume Obake Panic!!,,Misc.,,0:59:47,6,https://youtu.be/AVCc-i7rCWE,,,,,x,x,
GB,3-Pun Yosō Umaban Club,,Sports,,,,,,,,,x,,
GB,4-in-1 Fun Pak,,Boardgames,,2:26:55,6,https://youtu.be/ACTWa8fVIYY,,,,,x,x,
GB,4-in-1 Fun Pak Volume II,,Boardgames,,1:44:38,6,https://youtu.be/nMq14xbVrPg,,,,,x,x,
GB,Adventure Island,,Platformer,,1:08:02,8,https://youtu.be/REywRQvnemo,,,,,x,x,
GB,Adventure Island II,,Platformer,,1:25:14,9,https://youtu.be/1KZbvHVSKyE,,,,,x,x,
GB,Adventures of Lolo,,Puzzle,,,,,,,,,x,,
GB,Aguri Suzuki F-1 Super Driving,,Racing,,,,,,,,,x,,
GB,Aladdin,,Platformer,,1:14:55,5,https://youtu.be/XBKbYK6PlRw,,,,,x,x,
GB,Alien 3,,Action/Adventure,,0:15:17,5,https://youtu.be/ttYVeXzMhY8,x,,,,x,x,
GB,Alien Olympics 2044 AD,,Sports,,0:19:42,7,https://youtu.be/fR6wXmYStCk,,,,,x,x,
GB,America Oudan Ultra-Quiz,,Quiz,,,,,,,,,x,,
GB,Another Bible,,Tactical RPG,,10:57:08,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDjvDWxgoxohO_D4cXRvDQK,,,,,x,x,
GB,Aoki Densetsu Shoot!,,Sports,,1:35:57,3,https://youtu.be/M18ug_l9AZM,,,,,x,x,
GB,Arcade Classic No.1 - Asteroids & Missile Command,,Arcade,,1:34:19,4,https://youtu.be/TJqb7Ix-ElA,,,,,x,x,
GB,Aretha,,RPG,,,,,,,,,x,,
GB,Aretha II,,RPG,,,,,,,,,x,,
GB,Aretha III,,RPG,,,,,,,,,x,,
GB,Asterix,,Platformer,,0:43:09,7,https://youtu.be/kOBzZW3EKU8,,,,,x,x,
GB,Asterix & Obelix (GB),,Platformer,,0:51:17,7,https://youtu.be/69cVLENN5YQ,,,,,x,x,
GB,Batman: Return of The Joker,,Platformer,,,,,,,,,x,,
GB,Battle Arena Toshinden,,Fighting,,0:31:23,6,https://youtu.be/CM-Td7YOAx0,,,,,x,x,
GB,Battletoads & Double Dragon,,Beat 'm Up,,,,,,,,,x,,
GB,Blades Of Steel,,Sports,,0:53:13,6,https://youtu.be/9H9dNsnTXMc,,,,,x,x,
GB,Blodia,,Puzzle,,,,,,,,,x,,
GB,Bomber Boy (Atomic Punk/Dynablaster),,Action/Puzzle,,2:43:27,7,https://youtu.be/3oDsIdVBkGo,,,,,x,x,
GB,Bomber Man GB,,Action/Puzzle,,1:21:17,6,https://youtu.be/z6DeTwxxIY0,,,,,x,x,
GB,Bomber Man GB 3,,Action/Puzzle,,,,,,,,,x,,
GB,Bonk's Adventure,,Platformer,,0:18:56,8,https://youtu.be/yROn5uz1tkM,x,,,,x,x,
GB,Bubble Ghost,,Action/Puzzle,,,,,,,,,x,,
GB,BurgerTime Deluxe,,Arcade,,,,,,,,,x,,
GB,Bust-A-Move 3 DX,,Puzzle,,,,,,,,,x,,
GB,Castle Quest,,Strategy,,,,,,,,,x,,
GB,Chase H.Q.,,Arcade/Racing,,,,,,,,,x,,
GB,Contra: The Alien Wars,,Shooter,,,,,,,,,x,,
GB,Crayon Shin-Chan 2: Ora to Wanpaku Gokko Dazo,,Platformer,,0:34:48,5,https://youtu.be/KxRs_ZexbOA,,,,,x,x,
GB,Crayon Shin-Chan 3: Ora no Gokigen,,Misc.,,0:33:46,5,https://youtu.be/9nqJhCjOafg,,,,,x,x,
GB,Crayon Shin-Chan 4: Ora no Itazura Dai Henshin,,Platformer,,0:12:53,7,https://youtu.be/K735iv_10Lw,,,,,x,x,
GB,Daffy Duck: The Marvin Missions,,Platformer,,2:45:03,2,https://youtu.be/SGbiVVmXXIw,,,,,x,x,
GB,Darkwing Duck,,Platformer,,0:16:29,8,https://youtu.be/KViJJY2bg_4,x,,,,x,x,
GB,David Crane's The Rescue of Princess Blobette,,Adventure,,1:57:56,3,https://youtu.be/V0qYKFBfpw4,,,,,x,x,
GB,Days of Thunder,,Racing,,,,,,,,,x,,
GB,Diamaze,,Adventure/Platformer,,1:37:30,7,https://youtu.be/znK8rL8uIEU,,,,,x,x,
GB,Donkey Kong,,Platformer,,,,,,,,,x,,
GB,Donkey Kong Land 2,,Platformer,,,,,,,,,x,,
GB,Doraemon 2: Animal Wakusei Densetsu,,Misc.,,0:48:02,8,https://youtu.be/OMvza0OlpmY,,,,,x,x,
GB,Double Dragon 3,,Beat 'm Up,,,,,,,,,x,,
GB,Dr. Franken,,Platformer,,,,,,,,,x,,
GB,Dr. Mario,,Puzzle,,1:18:15,8,https://youtu.be/rWymGAFwEIk,,,,,x,x,
GB,DuckTales,,Platformer,,09:14.700,6,https://youtu.be/roFC6Dr6ovk,x,,,,x,x,
GB,DuckTales 2,,Platformer,,0:18:21,7,https://youtu.be/uRmlAk7Sfm8,x,,,,x,x,
GB,F-1 Race,,Racing,,,,,,,,,x,,
GB,F1 Pole Position,,Racing,,,,,,,,,x,,
GB,Fighting Simulator: 2-in-1 Flying Warriors,,Fighting,,,,,,,,,x,,
GB,Fist of the North Star,,Fighting,,07:10.466,3,https://youtu.be/iPeOWBMJw7k,x,,,,x,x,
GB,Fortified Zone,,Adventure,,,,,,,,,x,,
GB,Game Boy Camera,,Misc.,,,,,,,,,x,,
GB,Game Boy Gallery,,Arcade,,,,,,,,,x,,
GB,Ganbare Goemon: Sarawareta Ebisumaru!,,Adventure,,6:40:29,7,https://www.youtube.com/playlist?list=PLlNqyLg7AQBDwEhaVbDjOpDfMzDpk6ujH,,,,,x,x,
GB,Gargoyle's Quest,,Adventure/Platformer,,,,,,,,,x,,
GB,Golf,,Sports,,,,,,,,,x,,
GB,Gremlins 2: The New Batch,,Platformer,,,,,,,,,x,,
GB,Jelly Boy,,Platformer,,5:27:33,5,https://www.youtube.com/playlist?list=PLlNqyLg7AQBA3P8YeMP0fvHtEnusrE7Lv,,,,,x,x,
GB,Jeopardy!,,Quiz,,1:42:12,6,https://youtu.be/gX0JcGb02oA,,,,,x,x,
GB,Kid Icarus of Myths and Monsters,,Platformer,,,,,,,,,x,,
GB,Killer Instinct,,Fighting,,,,,,,,,x,,
GB,Kirby Star Stacker,,Puzzle,,,,,,,,,x,,
GB,Kirby's Block Ball,,Breakout,,,,,,,,,x,,
GB,Kirby's Dream Land,,Platformer,,0:11:50,10,https://youtu.be/4qpCRkss-V4,x,,,,x,x,
GB,Kirby's Dream Land 2,,Platformer,,3:22:27,6,https://youtu.be/Gah86DqQ3js,,,,,x,x,
GB,Kirby's Pinball Land,,Pinball,,,,,,,,,x,,
GB,Lamborghini American Challenge,,Racing,,,,,,,,,x,,
GB,Last Bible,,RPG,,,,,,,,,x,,
GB,Last Bible II,,RPG,,,,,,,,,x,,
GB,Looney Tunes,,Platformer,,,,,,,,,x,,
GB,Magical * Taruruuto-kun,,Platformer,,0:42:53,6,https://youtu.be/VTawfnvhcfc,,,,,x,x,
GB,Magical Taluluto-kun 2: Raiba Zone Panic!!,,Misc.,,,,,,,,,x,,
GB,Mario & Yoshi,,Puzzle,,,,,,,,,x,,
GB,Mega Man: Dr. Wily's Revenge,,Platformer,,,,,,,,,x,,
GB,Mickey's Dangerous Chase,,Platformer,,,,,,,,,x,,
GB,Mole Mania,,Puzzle,,,,,,,,,x,,
GB,Mortal Kombat,,Fighting,,0:40:51,1,https://youtu.be/Pab4lOxnr_k,,,,,x,x,
GB,Mortal Kombat II,,Fighting,,,,,,,,,x,,
GB,Motocross Maniacs,,Racing,,,,,,,,,x,,
GB,Mr. Do!,,Arcade,,,,,,,,,x,,
GB,Mulan,,Platformer,,,,,,,,,x,,
GB,NBA Live 96,,Sports,,,,,,,,,x,,
GB,Nettou Samurai Spirits,,Fighting,,,,,,,,,x,,
GB,NFL Quarterback Club,,Sports,,0:18:09,3,https://youtu.be/YtuX5seBImY,,,,,x,x,
GB,Nigel Mansell's World Championship Racing,,Racing,,,,,,,,,x,,
GB,Ninku,,Fighting,,,,,,,,,x,,
GB,Nintendo World Cup,,Sports,,,,,,,,,x,,
GB,On The Tiles,,Puzzle,,,,,,,,,x,,
GB,Operation C,,Shooter,,,,,,,,,x,,
GB,Picross 2,,Puzzle,,,,,,,,,x,,
GB,Pierre le Chef is... Out to Lunch,,Arcade/Platformer,,,,,,,,,x,,
GB,Pinball Deluxe,,Pinball,,,,,,,,,x,,
GB,Pocket Bomberman,,Platformer,,0:14:42,9,https://youtu.be/Ey4WNmEry9Q,x,,,,x,x,
GB,Pokémon Blue,,RPG,,,,,,,,,x,,
GB,Pokémon Red,,RPG,,,,,,,,,x,,
GB,Pokémon Yellow,,RPG,,,,,,,,,x,,
GB,Popeye,,Arcade,,,,,,,,,x,,
GB,Purikura Pocket: Fukanzen Joshikousei Manual,,Adventure/Sim.,,4:06:44,4,https://youtu.be/E5xQ3_pRNeQ,,,,,x,x,
GB,Quarth,,Puzzle,,3:02:03,8,https://youtu.be/wlL_-Jf4__M,,,,,x,x,
GB,Revenge of the Gator,,Pinball,,0:28:08,7,https://youtu.be/7Xv9H5Guw8k,,,,,x,x,
GB,Road Rash,*needs to be played on SGB,Racing,,,,,,,,,x,,
GB,Sanrio Carnival,,Puzzle,,,,,,,,,x,,
GB,SD Lupin Sansei: Kinko Yaburi Daisakusen,,Action,,,,,,,,,x,,
GB,Sensible Soccer: European Champions,,Sports,,,,,,,,,x,,
GB,Shadow Warriors,,Platformer,,0:14:03,10,https://youtu.be/hC1Ps2wpiqY,x,,,,x,x,
GB,Space Invaders,,Arcade/Shmup,,0:12:58,5,https://youtu.be/JRX3S8zsrg8,,,,,x,x,
GB,Spanky's Quest,,Arcade,,1:24:58,9,https://youtu.be/MBkZgz5f2dA,,,,,x,x,
GB,Spider-man and the X-men in Arcade's Revenge,,Platformer,,,,,,,,,x,,
GB,Stargate,,Puzzle,,,,,,,,,x,,
GB,Street Racer,,Racing,,,,,,,,,x,,
GB,Super Chinese Land,,Action,,,,,,,,,x,,
GB,Super Chinese Land 2,,Action,,,,,,,,,x,,
GB,Super Kick Off,,Sports,,,,,,,,,x,,
GB,Super Mario Land,,Platformer,,,,,,,,,x,,
GB,Super Mario Land 2: 6 Golden Coins,,Platformer,,,,,,,,,x,,
GB,Super R.C. Pro-Am,,Racing,,,,,,,,,x,,
GB,Taikyoku Renju,,Boardgames,,,,,,,,,x,,
GB,Tamagotchi,,Virtual Pet,,,,,,,,,x,,
GB,Tamagotchi 2,,Virtual Pet,,,,,,,,,x,,
GB,Teenage Mutant Ninja Turtles II - Back From The Sewers,,Beat 'm Up,,,,,,,,,x,,
GB,Terminator 2,,Action,,,,,,,,,x,,
GB,Tetris,,Puzzle,,,,,,,,,x,,
GB,Tetris 2,,Puzzle,,,,,,,,,x,,
GB,Tetris Attack,,Puzzle,,,,,,,,,x,,
GB,The Addams Family,,Platformer,,01:19.847,7,https://youtu.be/2S7be8S0FoQ,x,,,,x,x,
GB,The Addams Family: Pugsley's Scavenger Hunt,,Platformer,,1:40:05,4,https://youtu.be/V7bXV0erWdU,,,,,x,x,
